position,doi,publicationDate,versionNumber,apiVersionCount,fileCount,tabularCount,extensions,tabularFiles,relatedPublicationISSN,errors
12,doi:10.5061/dryad.d7wm37qh7,2026-08-27,3,1,8,7,csv md,DNA_quantity.csv Field_monitoring_data_of_eDNA_metabarcoding.csv Field_monitoring_data_of_morphology.csv Leptocorisa_chinensis.csv Marasmia_exigua.csv Non-target_OUTs.csv Target_read_abundance.csv,1461-9555,
13,doi:10.5061/dryad.nk98sf85b,2026-08-27,3,1,2,1,csv md,interpolated_data_homing_id.csv,1095-9203,
14,doi:10.5061/dryad.bvq83bkr6,2026-08-27,4,1,31,1,lif md xlsx zip,Rawdata_Figures_Tables_TSA.xlsx,2692-8205,
15,doi:10.5061/dryad.80gb5mm5q,2026-08-27,3,1,2,0,md zip,,0706-652X,
16,doi:10.5061/dryad.fxpnvx18x,2026-08-27,1,1,2,0,md zip,,0706-652X,
17,doi:10.5061/dryad.6djh9w1hn,2026-08-27,4,1,5,0,md rds txt zip,,2045-7758,
18,doi:10.5061/dryad.g79cnp5vs,2026-08-27,5,1,3,2,md xlsx,Data_2021.xlsx Data_2022.xlsx,1083-8155,
19,doi:10.5061/dryad.w3r22817z,2026-08-27,4,1,3,2,csv md,Final_annotated_MT_SD.csv Final_bias_annotated_SD.csv,2574-2531,
20,doi:10.5061/dryad.c59zw3rq0,2026-08-27,11,1,3,0,md zip,,1365-2699,
21,doi:10.5061/dryad.m827p,2026-08-27,3,2,2,1,md xlsx,FEMS_dryad_v2_published.xlsx,0168-6496,
22,doi:10.5061/dryad.xsj3tx9vw,2026-08-27,3,1,6,3,csv md nex r,foramen_occurrence.csv pgls_all_genera.csv pgls_all_generaWOhomo.csv,1097-4687,
23,doi:10.5061/dryad.6q573n6ff,2026-08-27,2,1,15,14,csv md,01_sampling_information.csv 02_fish_survey_data.csv 03_fish_stable_isotopes.csv 04_food_source_stable_isotopes.csv 05_hydrodynamic_daily_outputs.csv 06_hydrodynamic_descriptors.csv 07_hydrodynamic_calibration_data.csv 08_mixsiar_source_contributions.csv 09_isotopic_niche_metrics.csv 10_ecopath_parameters.csv 11_ecopath_diet_matrix.csv 12_foodweb_indicators.csv 13_rda_input_data.csv 14_water_quality_data.csv,2150-8925,
24,doi:10.5061/dryad.sn02v6xfg,2026-08-27,5,1,2,1,csv md,Mesopredator_Data.csv,1365-2699,
25,doi:10.5061/dryad.wm37pvn3k,2026-08-27,3,1,3,0,md zip,,2753-8168,
26,doi:10.5061/dryad.z34tmpgws,2026-08-27,3,1,2,0,gz md,,,
27,doi:10.5061/dryad.83bk3jb37,2026-08-27,7,2,3,1,gz md xlsx,radMS_table_1.xlsx,0908-8857,
28,doi:10.5061/dryad.gtht76j3x,2026-08-27,3,1,2,1,csv md,dominance_data.csv,0021-8790,
29,doi:10.5061/dryad.3j9kd521j,2026-08-27,1,1,2,1,csv md,full_text_vs_abstract_dataset.csv,2574-2531,
30,doi:10.5061/dryad.qv9s4mwwc,2026-08-27,2,1,3,2,csv md,ips_density_Goundar_et_al_2026_Where_are_they_now.csv parasitism_Goundar_et_al_2026_WHere_are_they_now.csv,1461-9555,
31,doi:10.5061/dryad.1vhhmgr9v,2026-08-27,3,1,2,1,md xlsx,MC_Drosophila_hydei.xlsx,1045-2249,
32,doi:10.5061/dryad.9ghx3fg0p,2026-08-27,3,1,14,8,csv md pt zip,cowpea_all_CCI_values.csv cowpea_Amax.csv cowpea_architecture.csv cowpea_biomass.csv cowpea_flower_and_pod_groundtruth.csv cowpea_leaf_nitrogen_vs_CCI.csv XLarge_All_Pod_Inference_data.csv XLarge_Flower_Inference_data.csv,2578-2703,
33,doi:10.5061/dryad.4mw6m90r5,2026-08-26,3,1,4,0,md zip,,0962-1083,
34,doi:10.5061/dryad.m0cfxppgt,2026-08-26,13,2,8,3,csv md nwk r zip,Body_information.csv Sperm_morphological_data.csv Sperm_speed_data.csv,1010-061X,
35,doi:10.5061/dryad.4xgxd25s6,2026-08-26,4,1,2,1,csv md,AgeRelatedChangesInAcousticCues_data.csv,0378-5955,
36,doi:10.5061/dryad.bvq83bkqp,2026-08-26,4,1,3,0, md zip,,1944-7973,
37,doi:10.5061/dryad.bk3j9kdr1,2026-08-26,5,1,18,0,asc bf md r tif txt zip,,1752-4571,
38,doi:10.5061/dryad.3tx95x6t7,2026-08-26,9,2,12,9,csv md rmd xlsx,Clean_Capture_Effort_2017-2024.csv Nightly_Capture_Effort_updated2024.csv Nightly_Capture_Rates_Spp_Updated.csv PercentChange_updated2025_JECA.csv PercentChange_updated2025.csv Proportion_of_Capture_-_Yearly_updated2024.csv Proportion_of_Capture_JECA.csv Stage_Capture_Rate_updated2024.csv Tagged_Bats.xlsx,1545-1542,
39,doi:10.5061/dryad.280gb5n5c,2026-08-26,3,1,7,5,md phy xlsx,FIG3.xlsx FIG4.xlsx FIG5.xlsx FIG6.xlsx FIG7_8.xlsx,1557-7015,
40,doi:10.5061/dryad.2280gb64c,2026-08-26,13,1,15,14,csv md,1_env.csv 10._b_Actinobacteriota_asv.csv 11._b_Proteobacteria_asv.csv 12._b_Acidobacteriota_asv.csv 13._b_Planctomycetota_asv.csv 14._b_Verrucomicrobiota_asv.csv 2._Coverage-based_plot_level_mean_and_total_island_diversity.csv 3._f_asv_bray-curtis.csv 4._b_asv_bray-curtis.csv 5._f_ascomycota_asv.csv 6._f_basidiomycota_asv.csv 7._f_plant_pathogen_asv.csv 8._f_wood_saprotroph_asv.csv 9._f_arbuscular_mycorrhizal_asv.csv,0906-7590,
41,doi:10.5061/dryad.kprr4xhfb,2026-08-26,6,1,11,10,csv md,Dunbar-Co_etal_2009_dataset.csv ecotypes.csv Kardiman_Raebild_etal_2017_dataset.csv kinship_matrix.csv legend.csv McElwain2016_dataset.csv McKown_etal_2016_dataset.csv s_table.csv sd_table.csv SNPeffect_BSLMM_allvar.csv,1461-023X,
42,doi:10.5061/dryad.tx95x6bdd,2026-08-26,5,1,3,0,gz md zip,,2041-1723,
43,doi:10.5061/dryad.8gtht772x,2026-08-26,5,1,3,2,csv md,Isoodon_data_raw_only.csv OMG_sample_metadata_Isoodon__with_skin_priorities.csv,,
44,doi:10.5061/dryad.g4f4qrg50,2026-08-26,2,1,3,1,csv md r,subset_dets.csv,0706-652X,
45,doi:10.5061/dryad.hqbzkh1zw,2026-08-26,4,2,7,6,csv md,FF_blank.csv FF_eggshell_01.csv FF_eggshell_02.csv FF_eggshell_03.csv FF_eggshell_04.csv FF_eggshell_05.csv,0012-9658,
46,doi:10.5061/dryad.bzkh189qb,2026-08-26,4,1,2,1,csv md,full_chemistry_wMeta.csv,,
47,doi:10.5061/dryad.cnp5hqcmx,2026-08-26,3,1,3,2,csv md,seed-density-metadata.csv seed-density.csv,2296-7745,
48,doi:10.5061/dryad.vt4b8gv7r,2026-08-26,10,1,5,0,docx md pdf zip,,0363-6135,
49,doi:10.5061/dryad.3r2280gzk,2026-08-26,2,1,3,1,csv md r,data_R.csv,0909-6396,
50,doi:10.5061/dryad.1rn8pk187,2026-08-26,11,1,21,1,gz hal md tgz tsv zip,Assemblies_and_species.tsv,0028-0836,
51,doi:10.5061/dryad.v15dv42cj,2026-08-26,3,1,3,2,csv md,Pieris_phenotype.csv site_data.csv,0307-6946,
52,doi:10.5061/dryad.h44j0zq2v,2026-08-26,4,1,55,54,csv md,Figure_1C.csv Figure_1D.csv Figure_1E.csv Figure_1G.csv Figure_1I.csv Figure_1J.csv Figure_4B_3KR.csv Figure_4B_Null.csv Figure_4B_WT.csv Figure_4C.csv Figure_4G.csv Figure_4H.csv Figure_5B.csv Figure_5C_p53_null_Ctnnb1_null.csv Figure_5C_p53_null.csv Figure_5E.csv Figure_5F.csv Figure_6A.csv Figure_6C.csv Figure_6D.csv Figure_6F.csv Figure_S1B.csv Figure_S1D.csv Figure_S1F_division_interval.csv Figure_S1F_EdU_percent.csv Figure_S1H.csv Figure_S1J.csv Figure_S1O.csv Figure_S2A.csv Figure_S2B.csv Figure_S3D_Ctnnb1.csv Figure_S3D_Trp53.csv Figure_S3E.csv Figure_S3F.csv Figure_S3G.csv Figure_S3H.csv Figure_S3I.csv Figure_S4A.csv Figure_S4C.csv Figure_S4D.csv Figure_S4F.csv Figure_S4H.csv Figure_S4I.csv Figure_S5A.csv Figure_S5C.csv Figure_S5D_DN90_Ctnnb1_ORF.csv Figure_S5D_p53_null_Lrp1_ORF.csv Figure_S5D_p53_null_Sfrp1_ORF.csv Figure_S5D_p53_null_Usp22_ORF.csv Figure_S5D_shLrp1.csv Figure_S5D_shSfrp1.csv Figure_S5D_shUsp22.csv Figure_S5E.csv Figure_S5F.csv,1095-9203,
53,doi:10.5061/dryad.zgmsbccv4,2026-08-26,5,1,2,0,md zip,,2692-8205,
54,doi:10.5061/dryad.8gtht774v,2026-08-26,2,1,2,0,md tar,,2469-9950,
55,doi:10.5061/dryad.jm63xsjrt,2026-08-26,4,1,12,6,csv md r,aems_ModelsFactors.csv Farm_info.csv FarmFieldYearAEMCropFineMonit_Info_1fs.csv ReferenceCrops.csv Sl_Year_Field_Sl250F100Monit_Breeding_Crop_ha01_n6.csv Sl_Year_Field_Sl250F100Monit_Breeding_CropFilt.csv,1617-1381,
56,doi:10.5061/dryad.0k6djhbh0,2026-08-26,3,1,4,1,csv md zip,phospho-MS.csv,1558-8238,
57,doi:10.5061/dryad.280gb5n39,2026-08-25,7,2,5,2,csv md r,dataset_summer_dmd_linearity.csv dataset_winter_dmd_linearity.csv,0909-6396,
58,doi:10.5061/dryad.5dv41nsmd,2026-08-25,5,1,16,4,csv md nex pdf tif txt xlsx,SupplementaryMaterials1.csv SupplementaryMaterials3.xlsx SupplementaryMaterials4.xlsx SupplementaryMaterials5.xlsx,0031-0182,
59,doi:10.5061/dryad.dbrv15fht,2026-08-25,3,1,2,0,fasta md,,2352-409X,
60,doi:10.5061/dryad.s1rn8pkq5,2026-08-25,5,1,5,0,kmz md r zip,,0022-1503,
