k,layout,arm,seed,test,unit,property,pair,stage,rawP,adjP,bhFamily,bhM,direction,gatePassed,forensic,contributed,stat,nullRef,B
0,column-grouped,free,8,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.270000,0.270000,Stage1,3,similar,1,1,1,0.0113986,0.0529790,999
0,column-grouped,free,8,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0600000,0.0900000,Stage1,3,similar,1,1,1,0.00601837,0.0898336,999
0,column-grouped,free,8,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0440000,0.0900000,Stage1,3,similar,1,1,1,0.0361111,0.0791667,999
0,column-grouped,free,8,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000145631,0.0282757,999
0,column-grouped,free,8,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000933019,0.0398103,999
0,column-grouped,free,8,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000136038,0.220687,999
0,column-grouped,free,8,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0520000,0.0520000,Stage3,1,similar,1,1,1,0.00187810,0.0493393,999
0,column-grouped,free,8,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,9,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.286000,0.286000,Stage1,3,similar,1,1,1,0.0132624,0.0517684,999
0,column-grouped,free,9,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0640000,0.0960000,Stage1,3,similar,1,1,1,0.00423846,0.108040,999
0,column-grouped,free,9,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0220000,0.0660000,Stage1,3,similar,1,1,1,0.0333333,0.0805556,999
0,column-grouped,free,9,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000283189,0.0233706,999
0,column-grouped,free,9,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000321154,0.0391517,999
0,column-grouped,free,9,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000110841,0.151593,999
0,column-grouped,free,9,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0340000,0.0340000,Stage3,1,similar,1,1,1,0.00169610,0.0458837,999
0,column-grouped,free,9,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,10,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.442000,0.442000,Stage1,3,similar,1,1,1,0.0192981,0.0499083,999
0,column-grouped,free,10,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.118000,0.177000,Stage1,3,similar,1,1,1,0.00999430,0.101834,999
0,column-grouped,free,10,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0120000,0.0360000,Stage1,3,similar,1,1,1,0.0305556,0.0777778,999
0,column-grouped,free,10,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,2.38120e-7,0.0239261,999
0,column-grouped,free,10,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000162968,0.0407990,999
0,column-grouped,free,10,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000570792,0.148597,999
0,column-grouped,free,10,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.00800000,0.00800000,Stage3,1,similar,1,1,1,0.000295918,0.0407972,999
0,column-grouped,free,10,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,11,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.496000,0.496000,Stage1,3,similar,1,1,1,0.0290078,0.0621683,999
0,column-grouped,free,11,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.356000,0.496000,Stage1,3,similar,1,1,1,0.0328246,0.0961246,999
0,column-grouped,free,11,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0500000,0.150000,Stage1,3,similar,1,1,1,0.0361111,0.0750000,999
0,column-grouped,free,11,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,1.85628e-7,0.0274715,999
0,column-grouped,free,11,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000480860,0.0374694,999
0,column-grouped,free,11,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000379748,0.136086,999
0,column-grouped,free,11,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.288000,0.288000,Stage3,1,similar,1,1,1,0.0126670,0.0526098,999
0,column-grouped,free,11,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,12,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.396000,0.711000,Stage1,3,similar,1,1,1,0.0310009,0.0855590,999
0,column-grouped,free,12,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.760000,0.760000,Stage1,3,similar,0,1,0,0.0702928,0.103593,999
0,column-grouped,free,12,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.474000,0.711000,Stage1,3,similar,0,1,0,0.0597222,0.0777778,999
0,column-grouped,free,12,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000115064,0.0274523,999
0,column-grouped,free,12,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,7.67196e-7,0.0386637,999
0,column-grouped,free,12,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000190756,0.149095,999
0,column-grouped,free,12,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.220000,0.220000,Stage3,1,similar,1,1,1,0.00991807,0.0488414,999
0,column-grouped,free,12,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,13,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.254000,0.254000,Stage1,3,similar,1,1,1,0.0168626,0.0688678,999
0,column-grouped,free,13,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0720000,0.216000,Stage1,3,similar,1,1,1,0.00590902,0.0913442,999
0,column-grouped,free,13,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.166000,0.249000,Stage1,3,similar,0,1,0,0.0444444,0.0736111,999
0,column-grouped,free,13,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000141141,0.0270474,999
0,column-grouped,free,13,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000189581,0.0391404,999
0,column-grouped,free,13,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000515612,0.121030,999
0,column-grouped,free,13,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.148000,0.148000,Stage3,1,similar,1,1,1,0.00879960,0.0736265,999
0,column-grouped,free,13,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,14,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.426000,0.426000,Stage1,3,similar,1,1,1,0.0264204,0.0672770,999
0,column-grouped,free,14,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.00200000,0.00600000,Stage1,3,similar,1,1,1,0.0000645639,0.0878717,999
0,column-grouped,free,14,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.126000,0.189000,Stage1,3,similar,0,1,0,0.0430556,0.0791667,999
0,column-grouped,free,14,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000121934,0.0271393,999
0,column-grouped,free,14,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000591111,0.0391148,999
0,column-grouped,free,14,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000299874,0.161249,999
0,column-grouped,free,14,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.142000,0.142000,Stage3,1,similar,1,1,1,0.00690119,0.0505099,999
0,column-grouped,free,14,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,15,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.0560000,0.168000,Stage1,3,similar,1,1,1,0.00177821,0.0508941,999
0,column-grouped,free,15,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.744000,0.744000,Stage1,3,similar,0,1,0,0.0594623,0.0826631,999
0,column-grouped,free,15,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.130000,0.195000,Stage1,3,similar,0,1,0,0.0430556,0.0777778,999
0,column-grouped,free,15,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,5.10780e-7,0.0276902,999
0,column-grouped,free,15,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,9.21594e-8,0.0444055,999
0,column-grouped,free,15,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000847974,0.145534,999
0,column-grouped,free,15,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.168000,0.168000,Stage3,1,similar,1,1,1,0.00763156,0.0497375,999
0,column-grouped,free,15,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,16,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.00800000,0.0240000,Stage1,3,similar,1,1,1,0.00109032,0.0770325,999
0,column-grouped,free,16,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.584000,0.770000,Stage1,3,similar,0,1,0,0.0416843,0.0735230,999
0,column-grouped,free,16,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.770000,0.770000,Stage1,3,similar,0,1,0,0.0666667,0.0763889,999
0,column-grouped,free,16,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000132769,0.0247215,999
0,column-grouped,free,16,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000976556,0.0403381,999
0,column-grouped,free,16,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000111952,0.203776,999
0,column-grouped,free,16,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0280000,0.0280000,Stage3,1,similar,1,1,1,0.00112859,0.0481134,999
0,column-grouped,free,16,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,17,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.0960000,0.144000,Stage1,3,similar,1,1,1,0.00505187,0.0563518,999
0,column-grouped,free,17,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.512000,0.512000,Stage1,3,similar,1,1,1,0.0507361,0.102405,999
0,column-grouped,free,17,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0200000,0.0600000,Stage1,3,similar,1,1,1,0.0305556,0.0777778,999
0,column-grouped,free,17,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000141013,0.0250501,999
0,column-grouped,free,17,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000248092,0.0403818,999
0,column-grouped,free,17,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000394271,0.123221,999
0,column-grouped,free,17,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0360000,0.0360000,Stage3,1,similar,1,1,1,0.00291504,0.0463984,999
0,column-grouped,free,17,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,18,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.570000,0.570000,Stage1,3,similar,0,1,0,0.0300665,0.0528774,999
0,column-grouped,free,18,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0540000,0.0810000,Stage1,3,similar,1,1,1,0.00307392,0.0742801,999
0,column-grouped,free,18,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0460000,0.0810000,Stage1,3,similar,1,1,1,0.0375000,0.0791667,999
0,column-grouped,free,18,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000277375,0.0254924,999
0,column-grouped,free,18,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000652258,0.0418346,999
0,column-grouped,free,18,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000246380,0.133314,999
0,column-grouped,free,18,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0560000,0.0560000,Stage3,1,similar,1,1,1,0.00323887,0.0492090,999
0,column-grouped,free,18,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,19,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.0780000,0.117000,Stage1,3,similar,1,1,1,0.00306965,0.0620709,999
0,column-grouped,free,19,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.442000,0.442000,Stage1,3,similar,1,1,1,0.0357634,0.0905025,999
0,column-grouped,free,19,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0760000,0.117000,Stage1,3,similar,1,1,1,0.0388889,0.0777778,999
0,column-grouped,free,19,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000212472,0.0277420,999
0,column-grouped,free,19,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000440885,0.0400599,999
0,column-grouped,free,19,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000309140,0.173685,999
0,column-grouped,free,19,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.280000,0.280000,Stage3,1,similar,1,1,1,0.0148014,0.0574009,999
0,column-grouped,free,19,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,paired,0,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.202000,0.303000,Stage1,3,similar,1,1,1,0.00103777,0.0106732,999
0,column-grouped,paired,0,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.530000,0.530000,Stage1,3,similar,1,1,1,0.0126759,0.0270402,999
0,column-grouped,paired,0,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.00400000,0.0120000,Stage1,3,different,0,0,0,0.0333333,0.0208333,999
0,column-grouped,paired,0,CCC,P4,Residual SD,CondA vs CondB,2,0.782000,0.782000,Stage2,3,similar,0,1,0,0.00000164801,0.00000223017,999
0,column-grouped,paired,0,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.0800000,0.240000,Stage2,3,different,0,1,0,0.0000110827,0.00000362125,999
0,column-grouped,paired,0,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.370000,0.555000,Stage2,3,different,0,1,0,0.0000228394,0.0000114240,999
0,column-grouped,paired,0,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.266000,0.266000,Stage3,1,similar,1,1,1,0.00138480,0.00525175,999
0,column-grouped,paired,0,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,1.00000,1.00000,,,,1,1,1,12,1.2,999
0,column-grouped,paired,1,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.778000,0.778000,Stage1,3,different,0,0,0,0.0273367,0.0226177,999
0,column-grouped,paired,1,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.542000,0.778000,Stage1,3,different,0,0,0,0.0380248,0.0211851,999
0,column-grouped,paired,1,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0100000,0.0300000,Stage1,3,different,0,0,0,0.0430556,0.0208333,999
0,column-grouped,paired,1,CCC,P4,Residual SD,CondA vs CondB,2,0.450000,0.480000,Stage2,3,similar,1,1,1,0.00000109093,0.00000257885,999
0,column-grouped,paired,1,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.156000,0.468000,Stage2,3,similar,1,1,1,8.03201e-7,0.00000483265,999
